Year,Title,Genre,Plot,Actors,Director,Rated,Runtime,Metascore
1986,Kung Fu: The Movie,"Adventure, Drama, Western",Kwai Chang Caine meets up with the father of the man he killed in China who seeks revenge using Caine's own illegitimate son.,"David Carradine, Kerrie Keane, Mako",Richard Lang,N/A,89 min,N/A
1986,A King and His Movie,"Comedy, Drama","Buenos Aires movie director, very fond of the legend of the King of Patagonia and Araucania, decides to make a movie about it. Despite of financial troubles, technical problems, misfortune and desertions, he undertakes the journey...","Ulises Dumont, Julio Chávez, Villanueva Cosse",Carlos Sorin,N/A,107 min,N/A
1986,Robotech: The Movie,"Animation, Action, Music","Re-edited version of a Japanese TV serial combined with a direct-to-video anime, released in the U.S. as a feature.","Kerrigan Mahan, Iona Morris, Diane Michelle","Noboru Ishiguro, Carl Macek",PG,87 min,N/A
1986,Heathcliff: The Movie,"Family, Animation, Comedy","On a rainy day as Uncle Heathcliff is forced to babysit his nephews, and spends the time recounting his adventures, he meets a cat who looks just like him, one where he winds up working for a mob boss, one where his dad gets relea...","Mel Blanc, Donna Christie, Peter Cullen",Bruno Bianchi,G,73 min,N/A
1986,InHumanoids: The Movie,"Action, Animation, Sci-Fi, Thriller","Action-packed cartoon about the age-old fight between good and evil. Mysterious events start to happen when the government Earth Corps unearths an amber monolith in a forest; meanwhile, an ...","Michael Bell, William Callaway, Christopher Collins, Fred Collins",Ray Lee,N/A,85 min,N/A
1986,The Great Movie Robbery,"Comedy, Sci-Fi","The film is essentially a feature-length commercial for an exhibition to mark the 40th anniversary of the nationalisation of the Czech and Slovak respective film industries, to be held at the Prague U Hybernu venue. The protagonis...","Oldrich Kaiser, Jirí Lábus, Jaroslav Moucka","Oldrich Lipský, Zdenek Podskalský",N/A,77 min,N/A
1986,Captain Tsubasa Movie 04: The Great World Competition! The Junior World Cup,"Animation, Family, Sport","Tsubasa and his team enter a world cup that that has four teams: Japan, United States of America, 'All Europe' and 'All South America'.","Kôichi Hashimoto, Akari Hibino, Yoshikazu Hirano",Tatsuya Okamoto,N/A,57 min,N/A
1987,The Garbage Pail Kids Movie,"Adventure, Comedy, Family",Dodger must confront the struggles of life as he is visited by the Garbage Pail Kids and intimidated by some older bullies.,"Anthony Newley, Mackenzie Astin, Phil Fondacaro",Rod Amateau,PG,100 min,1
1987,G.I. Joe: The Movie,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",The heroic G.I. Joe action force must oppose the ruthless Cobra organization that has secretly allied with a subterranean reptilian people who were their founders.,"Charlie Adler, Shuko Akune, Jack Angel, Michael Bell",Don Jurwich,PG,93 min,N/A
1987,Beaks: The Movie,"Horror, Thriller","Vanessa, a television reporter covering a story of a farmer attacked by his chickens, discovers that this is not an isolated incident...","Christopher Atkins, Michelle Johnson, Sonia Infante",René Cardona Jr.,R,100 min,N/A
1987,Thundercats Ho! The Movie,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",Lion-O is haunted by the recurring nightmares of Thunderians being killed on Thundera while he fled to the safety of Third Earth with Jaga and the other ThunderCats. Jaga later tells Lion-O...,"Bob McFadden, Earl Hammond, Larry Kenney, Lynne Lipton",Katsuhito Akiyama,N/A,91 min,N/A
1987,The Puppetoon Movie,"Animation, Family","Salute to the revolutionary Oscar winning stop motion animated Puppetoons created by sci-fi fantasy film legend George Pal. Gumby, Pokey and Arnie the Dinosaur host 12 of Pal's milestone shorts from 1934-1947 that have inspired an...","Paul Frees, Dal McKennon, Art Clokey",Arnold Leibovit,G,79 min,N/A
1987,Movie in Action,"Action, War",A movie crew is shooting in Thailand when some military guys kidnap the female star. The crew decide to fight back to get the movie star while shooting their movie.,"Bo Svenson, Robert Marius, Jim Gaines",Teddy Page,N/A,85 min,N/A
1987,New York Yankees (the Movie),"Documentary, History, Sport","The history of baseball's most famous franchise, from the beginning in 1903 through the 1986 season. Documentary uses newsreel, game footage, and interviews with players, coaches, and team personnel.","Mel Allen, Yogi Berra, Bob Costas",Lawrence Miller,N/A,96 min,N/A
1987,Beirut: The Last Home Movie,Documentary,Documentary about the Bustros Family,N/A,Jennifer Fox,N/A,123 min,N/A
1987,Australian Made: The Movie,"Documentary, History, Music",Australian Made: The Movie is a concert film of the 'Australian Made' tour from December 1986 to January 1987.,"Zan Abeyratne, Christina Amphlett, Chris Bailey",Richard Lowenstein,N/A,79 min,N/A
1987,Life Flight: The Movie,N/A,"Evangelistic in content and emphasis, ""Life Flight"" is an action-packed family program about finding meaning in life.","Jim McMullan, Pat Delaney, Lynda Beatie",Donald W. Thompson,Not Rated,87 min,N/A
1988,Felix the Cat: The Movie,"Animation, Adventure, Comedy","In another dimension, the villainous scientist Duke of Zill, with the help of his mechanical, geometric army, takes over the Land of Oriana, prompting Felix the Cat to save its princess and restore order once again.","Chris Phillips, Marbry Steward, Peter Newman",Tibor Hernádi,G,82 min,N/A
1988,Midnight Movie Massacre,"Comedy, Horror, Sci-Fi",A Martian begins to attack the patrons and staff of a movie theater during the 1950's as a low budget science fiction film plays on the screen.,"Robert Clarke, Ann Robinson, David Staffer","Laurence Jacobs, Mark Stock",N/A,85 min,N/A
1988,Bar-B-Que Movie,Short,"In this twisted spoof of ""The Texas Chain Saw Massacre,"" a vacationing family encounters a communal group of cannibalistic misfits, played by legendary punk band Butthole Surfers. After drinking a hallucinogenic beverage, and eati...","King Coffey, John Hawkes, Gibby Haynes",Alex Winter,N/A,11 min,N/A
1988,U2: The Making of the Movie 'Rattle and Hum',"Documentary, Music","Documentry Of The Making of the U2 Concert film, Rattle And Hum.","Bono, The Edge, Adam Clayton, Larry Mullen Jr.",N/A,Unrated,N/A,N/A
1988,The Violence Movie,"Short, Comedy","When a deranged killer (David E. Wilkinson) escapes from prison, he inexplicably invades the home of Joey Hammond (Joseph Shaugnessy) who must fight for his life in order to stay alive.","David Wilkinson, Michael Kahn, Joseph Shaughnessy",Eric D. Wilkinson,Not Rated,14 min,N/A
1988,Sakigake!! Otokojuku Movie,"Animation, Action, Comedy","Otokojuku, a private school for juvenile delinquents that were previously expelled from normal schools. At this school, Japanese chivalry is taught through the feudal and military fundamentals. Similar to an action film, the class...","Hideyuki Hori, Michiko Abe, Takeshi Aono",Tetsuo Imazawa,N/A,71 min,N/A
1988,Starlight: A Musical Movie,Musical,Talented youths go to the Starlight camp in trying to prepare for a musical concert.,"Kario Salem, Jean Taylor, Kathryn Eames",Orin Wechsberg,N/A,78 min,N/A
1988,Canada: Another Government Movie,N/A,N/A,Dan McLean,N/A,N/A,N/A,N/A
1988,All-Time Movie Greats,"Documentary, History",N/A,"Humphrey Bogart, Marlon Brando, James Dean, Cecil B. DeMille",N/A,Not Rated,62 min,N/A
1988,Episode 228: &quot;They Live&quot; (1988): Movie Review,Talk-Show,"Chris and Derek go back and watch the 1988 John Carpenter film, ""They Live"". They discuss the box office, the cast, memorable scenes and behind-the-scenes trivia. For the ""Fun With Caveman"" segment of the show, Chris quizzes Derek...","Chris McBrien, Derek Myers",N/A,N/A,N/A,N/A
1989,Patlabor: The Movie,"Animation, Action, Crime",The screwball cops of Special Vehicles Section 2 Division 2 must investigate and stop a spree of rampaging construction robots.,"Toshio Furukawa, David Jarvis, Doug Erholtz","Mamoru Oshii, Kôji Sawai",Unrated,100 min,N/A
1989,Babar: The Movie,"Animation, Adventure, Family","In his spectacular film debut, young Babar, King of the Elephants, must save his homeland from certain destruction by Rataxes and his band of invading rhinos.","Gordon Pinsent, Gavin Magrath, Elizabeth Hanna",Alan Bunce,G,70 min,N/A
1989,Wrath of the Ninja: The Yotoden Movie,"Animation, Action, Adventure","In the year 1580, a man named Lord Nobunaga Oda sends hoards of unholy armies across Japan, slaying all who stand in their way. A young ninja escapes her villages' destruction with a short sword, one of the three mystical weapons ...","Keiko Toda, Kazuhiko Inoue, Takeshi Watabe","Toshiyuki Sakurai, Osamu Yamasaki",Not Rated,97 min,N/A
1989,Crossbow: The Movie,"Action, Adventure",A made-for-tv movie based on tv series 'Crossbow'.,"Will Lyman, Jeremy Clyde, Harry Carey Jr., Johnny Crawford",George Mihalka,N/A,95 min,N/A
1989,Marley's Revenge: The Monster Movie,"Comedy, Horror",Two men trying to illegally smuggle their Aunt and uncle into the country but are mistaken as drug smugglers by a small group of vigilantes. They are taken to an island where they are to be executed and buried with previously murd...,"Donnie Broom, Donnie Evans, John Robert Fisher",Jet Eller,N/A,83 min,N/A
1989,No Holds Barred: The Match/The Movie,Sport,N/A,"Adolph Bresciano, Allen Coage, Barry Darsow",N/A,N/A,131 min,N/A
1989,Regal Shocker (The Movie),Horror,"""Pangako"": A tragic love story between Lara and Jimbo; ""Karambola"": Spoiled brat Baby Girl, her best friend, and their love interests attend a birthday party where they get abducted with the other guests; and ""Aparador"": Elizabeth...","Ruffa Gutierrez, Carmina Villaroel, Isabel Granada",Jose Javier Reyes,N/A,110 min,N/A
1989,Kidou Keiji Jiban the Movie,"Short, Sci-Fi",N/A,"Shoutaira Kusaka, Ami Kawai, Konomi Mashita",Konishi Mitio,N/A,25 min,N/A
1989,Kousoku Sentai Turboranger: The Movie,"Short, Action",N/A,"Keiji Asakura, Fumiaki Ganaha, Jun'ichirô Katagiri",Takao Nagaishi,N/A,25 min,N/A
1989,The Movie Life of George,Documentary,"When EMI refused to produce Monty Python's Life of Brian, George Harrison founded Handmade Pictures so that he could see the film. This is the story of him and Handmade Films.","Michael Caine, Graham Chapman, John Cleese",Charles Brand,N/A,52 min,N/A
1990,DuckTales the Movie: Treasure of the Lost Lamp,"Animation, Adventure, Comedy","Scrooge McDuck takes Huey, Dewey, and Louie to Egypt to find a pyramid and magic lamp.","Alan Young, Christopher Lloyd, Terence McGovern",Bob Hathcock,G,74 min,N/A
1990,Tales from the Darkside: The Movie,"Comedy, Fantasy, Horror","To stall a witch plotting to eat him, a boy reads her horror tales dealing with a collegian's resurrection of a mummy, a murderous cat, and an artist's pact with a gargoyle.","Debbie Harry, Matthew Lawrence, Christian Slater",John Harrison,R,93 min,54
1990,Jetsons: The Movie,"Animation, Comedy, Family",George Jetson is forced to uproot his family when Mr. Spacely promotes him to take charge of a new factory on a distant planet.,"George O'Hanlon, Penny Singleton, Mel Blanc","Iwao Takamoto, Joseph Barbera, William Hanna",G,82 min,46
1990,Chibi Maruko-chan Movie,"Animation, Comedy, Family",N/A,"Tarako, Yûsaku Yara, Teiyû Ichiryûsai","Tsutomu Shibayama, Yumiko Suda",N/A,94 min,N/A
1990,"Please Hammer, Don't Hurt 'Em: The Movie",Music,"MC Hammer returns to his hometown and, with the help of some funky tunes, defeats a druglord who is using kids to traffic his stuff.","Beatpusher, Michele L. Jennings, M.C. Hammer, Markus Maguire",Rupert Wainwright,N/A,60 min,N/A
1990,Making of Dreams: A Movie Conversation between Akira Kurosawa and Nobuhiko Obayashi,Documentary,On set making-of documentary about Akira Kurosawa's Dreams.,"Akira Kurosawa, Nobuhiko Ôbayashi",Nobuhiko Ôbayashi,N/A,150 min,N/A
1990,It's Only a Movie!,Comedy,A film crew is shooting a murder mystery in a haunted house when members of the cast and crew start turning up dead.,"Brian Dixon, Joe Zaso",Joe Zaso,N/A,N/A,N/A
1990,DuckTales: The Movie Special,Family,"Kadeem Hardison from ""Different World, A"" (1987) [TV-Series 1987-1993] and Tracey Gold of ""Growing Pains"" (1985) [TV-Series 1985-1992] co-host this primetime television special to promote ""...","Tracey Gold, Kadeem Hardison","Adam Small, Barbara Williams",N/A,30 min,N/A
1990,Surfers: The Movie,Documentary,"Directed by Bill Delaney, Surfers: The Movie truly wraps up how surfing looked like in the 1980s. As Sunny Garcia says in the film, ""I like to see people's faces after I beat them."" The film reveals the bold personalities, the big...","Mike Cruickshank, Mickey Dora, Johnny Boy Gomes",Bill Delaney,N/A,87 min,N/A
1990,The Violence Movie 2,"Short, Horror",N/A,Joseph Shaughnessy,Eric D. Wilkinson,N/A,19 min,N/A
1991,Scary Movie,"Comedy, Horror, Thriller","A paranoid teenage nerd comes to believe that an escaped lunatic may be hiding in the neighborhood Halloween house of horrors, and slowly starts to descend into madness.","John Hawkes, Suzanne Aldrich, Ev Lunning",Daniel Erickson,Not Rated,82 min,N/A
1991,"Ranma ½: The Movie, Big Trouble in Nekonron, China","Animation, Comedy, Fantasy","When Prince Kirin of the 7 Lucky Gods shows up at the Tendo dojo looking for his bride-to-be, guess who's accidentally holding the scroll that signifies his future mate? Why, Akane, of course, and the rest of the Ranma crew is for...","Kappei Yamaguchi, Megumi Hayashibara, Noriko Hidaka",Shûji Iuchi,Not Rated,74 min,N/A
1991,Chuck Amuck: The Movie,"Documentary, Biography",Discussion of the career of animator Chuck Jones.,"Chuck Jones, Maurice Noble, Lloyd Vaughan","Chuck Jones, John Needham, Abe Levitow",Unrated,51 min,N/A
1991,F.A.R.T. The Movie,Comedy,"Russell has two passions: watching television and farting! He also loves Heather. Heather HATES farting. The eternal triangle! One day she warns him, ""if they ever allow farting on ...","Joel Weiss, Shannandoah Sorin, Jeff Olsen, Issac Clay",Ray Etheridge,Not Rated,91 min,N/A
1991,"Robin Hood: The Myth, the Man, the Movie",Documentary,A documentary hosted by Pierce Brosnan examining the facts and legends surrounding the real Robin Hood. Scenes from the 1991 film Robin Hood: Prince of Thieves (1991)--for which this documentary was intended to be a companion piec...,"Pierce Brosnan, Kevin Reynolds, Kevin Costner","Michael Meadows, John Pattyson",N/A,32 min,N/A
1991,Robin Hood: The Movie,Adventure,N/A,"Richard Greene, Bernadette O'Farrell, Alan Wheatley, Leo McKern","Terence Fisher, Ralph Smart",Unrated,90 min,N/A
1991,Backyard Movie,Short,"Handwritten notes from the filmmaker are superimposed over home movies. The narration describes the filmmaker's meditations on sexuality - at 20 when his mother asks him about his sexual orientation, and at 13 when his father desc...",Ric Arrango,Bruce Weber,N/A,9 min,N/A
1991,Hot Shots: The Making of an Important Movie,"Documentary, Short",N/A,"Jim Abrahams, Lloyd Bridges, Jon Cryer, Cary Elwes",N/A,N/A,25 min,N/A
1991,The Movie Awards,Documentary,N/A,"Kirstie Alley, Anne Archer, Clint Eastwood, Hector Elizondo",Marty Pasetta,N/A,N/A,N/A
1991,Movie Love,Short,N/A,"Giannis Klados, Hristos Skouras, Mihalis Bouris","Giannis Klados, Panagiotis Tsagas",N/A,9 min,N/A
1992,Tom and Jerry: The Movie,"Animation, Adventure, Comedy","Tom and Jerry convince Robyn, an orphan girl who runs away from home to escape her evil aunt, to return and accompany her. Later, they chance upon a great secret that Robyn's aunt has kept from her.","Richard Kind, Dana Hill, Anndi McAfee",Phil Roman,G,84 min,N/A
1992,German Fried Movie,Comedy,A series of comedic sketches.,"Jo Betzing, Jürg Löw, Alexander Leuschen","Uwe Boll, Frank Lustig",N/A,88 min,N/A
1992,"Ranma ½: The Movie 2, Nihao My Concubine","Animation, Action, Adventure","With the Tendos, the Saotomes, Ryoga, Shampoo and Ukyo misinterpreting Tatewake Kuno's invitation to his two loves, Akane and ""The Pig Tailed Girl"", to try his new yacht, a whole new episode of chaos begins in the already unstable...","Kappei Yamaguchi, Megumi Hayashibara, Noriko Hidaka",Iku Suzuki,Not Rated,60 min,N/A
1992,1992 MTV Movie Awards,Family,The first MTV Movie Awards. Hosted by Dennis Miller.,"Dennis Miller, Christina Applegate, Arrested Development",Bruce Gowers,N/A,90 min,N/A
1992,Orkney Snork Nie! (die movie): 'Dis Lekker By Die See',Comedy,It's summertime and the family is on their way to a seaside resort. But there is a businessman looking to buy the resort and build timeshare apartments In its place and is set to ruin the holiday for the families in the resort.,"Zack du Plessis, Annette Engelbrecht, Dulcie van den Bergh",Willie Esterhuizen,N/A,98 min,N/A
1992,The Black Crowes: Who Killed That Bird Out on Your Window Sill... The Movie,Music,N/A,"Jeff Cease, Johnny Colt, Marc Ford, Steve Gorman",N/A,N/A,83 min,N/A
1992,Robert's Movie,N/A,"A bisexual foreign photojournalist arrives in Istanbul, where he believes he will be safe, after he took some photos of military action which could endanger his life. In a bar, he meets Gogo, a violent and secretive androgynous po...","Asli Altan, Patrick Bauchau, John Kelly",Canan Gerede,N/A,N/A,N/A
1992,Movie Madness,Comedy,N/A,"Rebekka Armstrong, Lezlie Deane",Steve Sayre,R,80 min,N/A
1992,Home Movie,"Comedy, Drama",N/A,"Ian Tracey, John Pyper-Ferguson, Suki Kaiser, Kerry Sandomirsky",Fred Frame,N/A,93 min,N/A
1992,Angelina: The Movie,Drama,N/A,"Cristina Gonzales, Jomar Cruz, Eddie Gutierrez",Romy Suzara,N/A,99 min,N/A
1993,Patlabor 2: The Movie,"Animation, Action, Drama","When a terrorist attack is blamed on the Air Force, Special Vehicle Unit 2 gets caught in the middle of a growing political conflict.","Mîna Tominaga, Briony Glassco, Julie Ann Taylor","Mamoru Oshii, Mizuho Nishikubo",TV-14,113 min,N/A
1993,Sailor Moon R: The Movie: The Promise of the Rose,"Animation, Action, Comedy","Fiore, an old friend from Mamoru's lonely childhood who couldn't survive on Earth, returns with flowers he promised Mamoru. But, the evil flower Kisenian overpowered Fiore's weak mind and manipulated him into spreading Kisenian's ...","Kotono Mitsuishi, Tôru Furuya, Michie Tomizawa",Kunihiko Ikuhara,TV-14,61 min,N/A
1993,Yu Yu Hakusho: The Movie,"Animation, Short, Action","While vacationing, Koenma is kidnapped by a pair of demons known as Koashura and Garuga, who demand the possession of Lord Enma's coveted ""Golden Seal"". Botan finds Yusuke Urameshi and Kazuma Kuwabara on their summer vacation as w...","Nozomu Sasaki, Shigeru Chiba, Sanae Miyuki","Noriyuki Abe, Akihiro Enomoto, Atsuko Inoue",Not Rated,30 min,N/A
1993,Lucy and Desi: A Home Movie,"Documentary, Comedy, Music","Home life of Desi &amp; Lucy Arnaz, from beginning to end, actually, including clips of their early lives &amp; family members.","Lucie Arnaz, Lucille Ball, Desi Arnaz",N/A,N/A,108 min,N/A
1993,1993 MTV Movie Awards,Family,The second annual MTV Movie Awards. Hosted by comedian and actor Eddie Murphy.,"Eddie Murphy, Dr. Dre, Duran Duran","Bruce Gowers, Troy Miller",N/A,N/A,N/A
1993,The Scary Movie,"Short, Horror",A creepy concoction of a ghost story with little plot other than spooky sound and visuals.,"Martina Meijer Torr, Sonja Mereu",Peggy Ahwesh,N/A,7 min,N/A
1993,Orkney Snork Nie! 2 (nog 'n movie),Comedy,N/A,"Zack du Plessis, Annette Engelbrecht, Pierre van Pletzen",Willie Esterhuizen,N/A,97 min,N/A
1993,Home Along da Riles da Movie,"Action, Comedy, Crime","Kevin Cosme and his family becomes the target of a crime mob headed by a corrupt governor when one of his sons, Baldo, who while playing with his new dog, was unknowingly passed an incriminating cassette audio tape by an escaping ...","Dolphy, Vandolph, Nova Villa",Johnny Manahan,N/A,130 min,N/A
1993,The Legend of an Erotic Movie Star,Drama,N/A,"Ji-Hung Chan, Kin Tak Chan, Kin-Yat Chan",Bong Siu,N/A,N/A,N/A
1993,The Clever Dog Sonya. Second Movie,"Animation, Short","Clever dog Sonya lives in the apartment of a multi-storey building, her master's name is Ivan Ivanovich Korolyov. And despite the fact that Sonya is a very small and polite dog, she constantly gets into some incredible stories. Bu...","Aleksey Borzunov, Svetlana Stepchenko",Vadim Medzhibovskiy,N/A,6 min,N/A
1994,It's Pat: The Movie,Comedy,The comedic misadventures of a person of indeterminate gender.,"Julia Sweeney, Dave Foley, Charles Rocket",Adam Bernstein,PG-13,77 min,N/A
1994,Street Fighter II: The Animated Movie,"Animation, Action, Adventure","A crime boss searching for the world's best fighters pursues a talented Japanese drifter and his American ex-classmate, while an Interpol agent and a US Army captain seek to bring him down.","Kôjiro Shimizu, Kenji Haga, Miki Fujitani",Gisaburô Sugii,PG-13,102 min,N/A
1994,Sailor Moon S: The Movie - Hearts in Ice,"Animation, Action, Comedy","An unusual snow storm hits the town and the Sailor Scouts discover that an evil snow queen Kaguya, wants to freeze the entire earth. It's up to the Inner Sailor Scouts along with the Outers, to defeat the Queen. Meanwhile, Luna fa...","Kotono Mitsuishi, Aya Hisakawa, Michie Tomizawa",Hiroki Shibata,TV-14,60 min,N/A
1994,Slam Dunk: The Movie,"Animation, Short, Drama","Sakuragi and the Shohoko team takes on Oda and Takezono High School. This is Sakuragi's second match as he faces Oda, a basketball player who went to the same junior high.","Eriko Hara, Akiko Hiramatsu, Atsushi Kisaichi",Nobutaka Nishizawa,TV-PG,30 min,N/A
1994,Movie Days,Drama,The story of a boyhood spent in Iceland in the 1960s. Tomas loves the movies and is highly influenced by them.,"Örvar Jens Arnarsson, Rúrik Haraldsson, Sigrún Hjálmtýsdóttir",Friðrik Þór Friðriksson,N/A,82 min,N/A
1994,Fredrikssons fabrikk - The movie,Comedy,"This farcical movie takes place in a tiny dress factory in Norway. The company ""Fredrikssons Fashion"" is owned and run by a Swede. His employees are a bunch of ladies who think of their job as an opportunity for socializing for wh...","Magnus Härenstam, Brit Elisabeth Haagensli, Geir Kvarme",Bo Hermansson,N/A,92 min,N/A
1994,Murder or Memory: A Moment of Truth Movie,"Crime, Drama, Thriller",A mother fights to prove her 14-year-old son is innocent of a murder he confessed to under hypnosis.,"Leigh Taylor-Young, Michael Brandon, Karl David-Djerf",Christopher Leitch,N/A,105 min,N/A
1994,Fake Movie Page,N/A,N/A,N/A,Saji,N/A,N/A,N/A
1994,Amba - First Movie,"Animation, Short, Sci-Fi",People grow genetically modified plants using the brain of a dog and a man-octopus.,"Lyudmila Gnilova, Vsevolod Abdulov, Aleksandr Lushchik",Gennadiy Tishchenko,N/A,8 min,N/A
1994,1994 MTV Movie Awards,Family,The third annual MTV Movie Awards. Hosted by rapper and actor Will Smith.,"Will Smith, Tom Arnold, Backbeat, William Baldwin",Bruce Gowers,N/A,N/A,N/A
1995,A Goofy Movie,"Animation, Adventure, Comedy","When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.","Bill Farmer, Jason Marsden, Jim Cummings",Kevin Lima,G,78 min,53
1995,The Brady Bunch Movie,Comedy,"The original 1970s TV family is now placed in the 1990s, where they're even more square and out of place than ever.","Shelley Long, Gary Cole, Christine Taylor",Betty Thomas,PG-13,90 min,54
1995,Trinity and Beyond: The Atomic Bomb Movie,"Documentary, History",The history of nuclear weapons between 1945 until 1963.,"William Shatner, Edward Teller, W.H.P. Blandy, Frank H. Shelton",Peter Kuran,Not Rated,92 min,N/A
1995,Sailor Moon SuperS: The Movie: Black Dream Hole,"Animation, Action, Comedy","When the Evil Madame Vadiane kidnaps Chibi-Usa, the senshi rush to her rescue with the aid of Chibi-Usa's new friend, Peruru. After trying to find Chibi-Usa and fight off Vadiane's henchmen to no avail, the three outer senshi (Nep...","Kotono Mitsuishi, Kae Araki, Michie Tomizawa",Hiroki Shibata,TV-14,75 min,N/A
1995,Gumby: The Movie,"Animation, Adventure, Comedy","In this offshoot of the 1950s ""claymation"" cartoon series, the crazy Blockheads threaten to ruin Gumby's benefit concert by replacing the entire city of Clokeytown with robots.","Dal McKennon, Art Clokey, Gloria Clokey",Art Clokey,G,90 min,N/A
1995,Macross Plus Movie Edition,"Animation, Action, Adventure",Two rival test pilots strive to be the best there is at what they do and also to win the heart of the woman behind the AI pop sensation Sharon Apple. Movie compilation of the acclaimed four-chapter OVA with additional scenes.,"Steve Blum, Rica Fukami, Banjô Ginga","Shôji Kawamori, Yûji Moriyama, Shin'ichirô Watanabe",N/A,115 min,N/A
1995,Wigstock: The Movie,Documentary,"Documentary/Concert film covering the annual Drag festival in New York City. Highlights include a performance by drag diva, Ru Paul, and the infamous Lypsinka.","RuPaul, John Epperson, Debbie Harry",Barry Shils,R,85 min,N/A
1995,Murder Was the Case: The Movie,"Short, Comedy, Crime, Drama, Horror, Music","Follows the exploits of Snoop Doggy Dogg as he gets shot, and makes a deal with the devil to survive.","Snoop Dogg, Charlie Murphy, Gregory Scott Cummins, Freez Luv","Dr. Dre, Fab 5 Freddy, F. Gary Gray, Ricky Harris",N/A,18 min,N/A
1995,Monster Mash: The Movie,"Comedy, Horror, Musical",Two teenagers get trapped in a house with Dr. Frankenstein who wants to transfer one of their brains to his creature.,"Ian Bohen, Candace Cameron Bure, Sarah Douglas","Joel Cohen, Alec Sokolow",PG,82 min,N/A
1995,Catnapped! The Movie,"Animation, Adventure, Family",Anthropomorphic cats abduct little kids' dog to use him as a weapon for their Mistress who wants to control the fantastical cat world. Young boy and his sister must travel to this world to save their pet and the cat world.,"Noriko Hidaka, Hiroaki Hiro, Mitsuo Iwata",Takashi Nakamura,N/A,77 min,N/A
1996,Mystery Science Theater 3000: The Movie,"Comedy, Drama, Fantasy",Mike Nelson and his robot companions watch and give their comments about This Island Earth (1955).,"Trace Beaulieu, Michael J. Nelson, Jim Mallon",Jim Mallon,PG-13,73 min,65
1996,Doctor Who: The Movie,"Adventure, Drama, Sci-Fi","The newly-regenerated Doctor takes on the Master on the turn of the millennium, 31 December 1999.","Paul McGann, Eric Roberts, Daphne Ashbrook",Geoffrey Sax,TV-14,89 min,N/A
1996,Tenchi the Movie - Tenchi Muyo in Love,"Animation, Adventure, Comedy","Tenchi and co. find their existence unsettled by a time-travelling entity called Kain. Desiring revenge upon the Juraian emperor, Tenchi, Kain travels back in time to kill Tenchi's mother. Trying to preserve the timestream, Tenchi...","Matt K. Miller, Megumi Hayashibara, Yuri Amano",Hiroshi Negishi,PG-13,95 min,N/A
1996,Black Jack: The Movie,"Animation, Drama, Thriller","The adventures of the unlicensed but genius doctor Black Jack, who encounters extraordinary people and phenomena as he attends to unusual medical cases.","Hiroshi Fujioka, Kirk Thornton, Akio Ôtsuka",Osamu Dezaki,Not Rated,90 min,N/A
1996,A Secret Between Friends: A Moment of Truth Movie,Drama,Two friends keep their vomiting a secret until one friend almost dies.,"Lynda Carter, Katie Wright, Marley Shelton",James A. Contner,N/A,96 min,N/A
1996,Hugo: The Movie Star,"Animation, Family, Musical","Hugo, the one-of-a-kind jungle animal, is snatched away from his home for a second time in another attempt for him to become an animal actor. Meanwhile, he's reunited with Rita the kind, streetwise fox. Finding that life in front ...","Kaya Brüel, Jesper Klein, Søs Egelind","Stefan Fjeldmark, Jørgen Lerdam, Flemming Quist Møller",N/A,68 min,N/A
1996,Hollywood: The Movie,"Comedy, Fantasy","An ambtious filmmaker sets out to make an avant-garde film but soon learns the only way he can secure financing is if he shows Jessica Hahn's breasts. Also, two old women are magically transformed into young starlets.","Julie Strain, Imogene Coca, Jessica Hahn, Morton Downey Jr.",Joseph Allen,Not Rated,98 min,N/A
1996,Mighty Ducks the Movie: The First Face-Off,"Animation, Action, Comedy, Family, Sci-Fi",This movie is a compilation of the first three episodes of the television series.,"Jim Belushi, Jeff Bennett, Clancy Brown, Townsend Coleman","Joe Barruso, Doug Murphy, Blair Peters, Baekyup Sung",Unrated,66 min,N/A
1996,Freebird: The Movie,Documentary,"See classic live performances, interviews and vintage footage of the original Lynyrd Skynyrd band.","Allen Collins, Steve Gaines, Billy Powell",Jeff G. Waxman,PG,101 min,N/A
1996,"The Typewriter, the Rifle & the Movie Camera","Documentary, Biography","In a documentary about Samuel Fuller, the spectator gets different impressions about the Hollywood director and his films. The film is divided into the three sections: The Typewriter, the Rifle and the Movie Camera. The first segm...","Samuel Fuller, Tim Robbins, Jim Jarmusch",Adam Simon,N/A,55 min,N/A
1997,The Batman Superman Movie: World's Finest,"Animation, Action, Adventure",Joker goes to Metropolis with an offer and plan to kill Superman for Lex Luthor while Batman pursues the clown to Superman's turf.,"Tim Daly, Dana Delany, Kevin Conroy",Toshihiko Masuda,TV-PG,64 min,N/A
1997,Turbo: A Power Rangers Movie,"Action, Adventure, Family","A space alien is threatening to bring destruction on Earth, and the Power Rangers are enhanced with turbo powers in order to prevent her plan.","Jason David Frank, Catherine Sutherland, Hilary Shepard","Shuki Levy, David Winning",PG,99 min,35
